# Surah 81 | At-Takwir | التكوير
# total_ayat=29

1|إِذَا الشَّمْسُ كُوِّرَتْ|Apabila matahari digulung,
2|وَإِذَا النُّجُومُ انْكَدَرَتْ|dan apabila bintang-bintang berjatuhan,
3|وَإِذَا الْجِبَالُ سُيِّرَتْ|dan apabila gunung-gunung dihancurkan,
4|وَإِذَا الْعِشَارُ عُطِّلَتْ|dan apabila unta-unta yang bunting ditinggalkan (tidak terurus),
5|وَإِذَا الْوُحُوشُ حُشِرَتْ|dan apabila binatang-binatang liar dikumpulkan,
6|وَإِذَا الْبِحَارُ سُجِّرَتْ|dan apabila lautan dipanaskan,
7|وَإِذَا النُّفُوسُ زُوِّجَتْ|dan apabila roh-roh dipertemukan (dengan tubuh),
8|وَإِذَا الْمَوْءُودَةُ سُئِلَتْ|dan apabila bayi-bayi perempuan yang dikubur hidup-hidup ditanya,
9|بِأَيِّ ذَنْبٍ قُتِلَتْ|karena dosa apakah dia dibunuh?
10|وَإِذَا الصُّحُفُ نُشِرَتْ|dan apabila catatan-catatan (amal perbuatan manusia) dibuka,
11|وَإِذَا السَّمَاءُ كُشِطَتْ|dan apabila langit dilenyapkan,
12|وَإِذَا الْجَحِيمُ سُعِّرَتْ|dan apabila neraka Jahim dinyalakan,
13|وَإِذَا الْجَنَّةُ أُزْلِفَتْ|dan apabila surga didekatkan,
14|عَلِمَتْ نَفْسٌ مَا أَحْضَرَتْ|setiap jiwa akan mengetahui apa yang telah dilakukannya.
15|فَلَا أُقْسِمُ بِالْخُنَّسِ|Aku bersumpah demi bintang-bintang,
16|الْجَوَارِ الْكُنَّسِ|yang beredar dan terbenam,
17|وَاللَّيْلِ إِذَا عَسْعَسَ|demi malam apabila telah hampir meninggalkan gelapnya,
18|وَالصُّبْحِ إِذَا تَنَفَّسَ|dan demi subuh apabila fajarnya mulai menyingsing,
19|إِنَّهُ لَقَوْلُ رَسُولٍ كَرِيمٍ|sesungguhnya (Al-Qur'an) itu benar-benar firman (Allah yang dibawa oleh) utusan yang mulia (Jibril),
20|ذِي قُوَّةٍ عِنْدَ ذِي الْعَرْشِ مَكِينٍ|yang memiliki kekuatan, yang memiliki kedudukan tinggi di sisi (Allah) yang memiliki Arsy,
21|مُطَاعٍ ثَمَّ أَمِينٍ|yang di sana (di langit) ditaati dan dipercaya.
22|وَمَا صَاحِبُكُمْ بِمَجْنُونٍ|Dan temanmu (Muhammad) itu bukanlah orang gila.
23|وَلَقَدْ رَآهُ بِالْأُفُقِ الْمُبِينِ|Sungguh, dia (Muhammad) telah melihatnya (Jibril) di ufuk yang terang.
24|وَمَا هُوَ عَلَى الْغَيْبِ بِضَنِينٍ|Dan dia bukanlah orang yang kikir untuk menerangkan yang gaib.
25|وَمَا هُوَ بِقَوْلِ شَيْطَانٍ رَجِيمٍ|Dan (Al-Qur'an) itu bukanlah perkataan setan yang terkutuk,
26|فَأَيْنَ تَذْهَبُونَ|maka ke manakah kamu akan pergi?
27|إِنْ هُوَ إِلَّا ذِكْرٌ لِلْعَالَمِينَ|(Al-Qur'an) itu tidak lain adalah peringatan bagi seluruh alam,
28|لِمَنْ شَاءَ مِنْكُمْ أَنْ يَسْتَقِيمَ|(yaitu) bagi siapa di antara kamu yang menghendaki menempuh jalan yang lurus.
29|وَمَا تَشَاءُونَ إِلَّا أَنْ يَشَاءَ اللَّهُ رَبُّ الْعَالَمِينَ|Dan kamu tidak dapat menghendaki (menempuh jalan itu) kecuali apabila dikehendaki Allah, Tuhan seluruh alam.
