# Surah 82 | Al-Infitar | الانفطار
# total_ayat=19

1|إِذَا السَّمَاءُ انْفَطَرَتْ|Apabila langit terbelah,
2|وَإِذَا الْكَوَاكِبُ انْتَثَرَتْ|dan apabila bintang-bintang jatuh berserakan,
3|وَإِذَا الْبِحَارُ فُجِّرَتْ|dan apabila lautan dijadikan meluap,
4|وَإِذَا الْقُبُورُ بُعْثِرَتْ|dan apabila kuburan-kuburan dibongkar,
5|عَلِمَتْ نَفْسٌ مَا قَدَّمَتْ وَأَخَّرَتْ|maka setiap jiwa akan mengetahui apa yang telah dikerjakan dan yang dilalaikan(nya).
6|يَا أَيُّهَا الْإِنْسَانُ مَا غَرَّكَ بِرَبِّكَ الْكَرِيمِ|Wahai manusia! Apakah yang telah memperdayakan kamu (berbuat durhaka) terhadap Tuhanmu Yang Mahamulia,
7|الَّذِي خَلَقَكَ فَسَوَّاكَ فَعَدَلَكَ|Yang telah menciptakanmu lalu menyempurnakan kejadianmu dan menjadikan (susunan tubuh)mu seimbang,
8|فِي أَيِّ صُورَةٍ مَا شَاءَ رَكَّبَكَ|dalam bentuk apa saja yang dikehendaki, Dia menyusun tubuhmu.
9|كَلَّا بَلْ تُكَذِّبُونَ بِالدِّينِ|Sekali-kali jangan begitu! Bahkan kamu mendustakan hari pembalasan.
10|وَإِنَّ عَلَيْكُمْ لَحَافِظِينَ|Dan sungguh, para malaikat menjagamu (mencatat amal perbuatanmu),
11|كِرَامًا كَاتِبِينَ|yang mulia (di sisi Allah) dan mencatat (amal perbuatanmu),
12|يَعْلَمُونَ مَا تَفْعَلُونَ|mereka mengetahui apa yang kamu kerjakan.
13|إِنَّ الْأَبْرَارَ لَفِي نَعِيمٍ|Sesungguhnya orang-orang yang berbakti benar-benar berada dalam (surga yang penuh) kenikmatan,
14|وَإِنَّ الْفُجَّارَ لَفِي جَحِيمٍ|dan sesungguhnya orang-orang yang durhaka benar-benar berada dalam neraka.
15|يَصْلَوْنَهَا يَوْمَ الدِّينِ|Mereka masuk ke dalamnya pada hari pembalasan.
16|وَمَا هُمْ عَنْهَا بِغَائِبِينَ|Dan mereka tidak akan dapat keluar dari neraka itu.
17|وَمَا أَدْرَاكَ مَا يَوْمُ الدِّينِ|Dan tahukah kamu apakah hari pembalasan itu?
18|ثُمَّ مَا أَدْرَاكَ مَا يَوْمُ الدِّينِ|Sekali lagi, tahukah kamu apakah hari pembalasan itu?
19|يَوْمَ لَا تَمْلِكُ نَفْسٌ لِنَفْسٍ شَيْئًا ۖ وَالْأَمْرُ يَوْمَئِذٍ لِلَّهِ|(Yaitu) pada hari (ketika) seseorang sama sekali tidak berdaya (menolong) orang lain. Dan segala urusan pada hari itu dalam kekuasaan Allah.
