# Surah 86 | At-Tariq | الطارق
# total_ayat=17

1|وَالسَّمَاءِ وَالطَّارِقِ|Demi langit dan yang datang pada malam hari,
2|وَمَا أَدْرَاكَ مَا الطَّارِقُ|dan tahukah kamu apakah yang datang pada malam hari itu?
3|النَّجْمُ الثَّاقِبُ|(yaitu) bintang yang bersinar tajam,
4|إِنْ كُلُّ نَفْسٍ لَمَّا عَلَيْهَا حَافِظٌ|tidak ada suatu jiwa pun (diri) melainkan ada penjaganya.
5|فَلْيَنْظُرِ الْإِنْسَانُ مِمَّ خُلِقَ|Maka hendaklah manusia memperhatikan dari apa dia diciptakan.
6|خُلِقَ مِنْ مَاءٍ دَافِقٍ|Dia diciptakan dari air (mani) yang terpancar,
7|يَخْرُجُ مِنْ بَيْنِ الصُّلْبِ وَالتَّرَائِبِ|yang keluar dari antara tulang punggung (sulbi) dan tulang rusuk.
8|إِنَّهُ عَلَىٰ رَجْعِهِ لَقَادِرٌ|Sungguh, Allah benar-benar kuasa untuk mengembalikannya (hidup setelah mati).
9|يَوْمَ تُبْلَى السَّرَائِرُ|Pada hari ditampakkan segala rahasia,
10|فَمَا لَهُ مِنْ قُوَّةٍ وَلَا نَاصِرٍ|maka manusia tidak lagi mempunyai kekuatan dan tidak (pula) ada penolong.
11|وَالسَّمَاءِ ذَاتِ الرَّجْعِ|Demi langit yang mengandung hujan,
12|وَالْأَرْضِ ذَاتِ الصَّدْعِ|dan bumi yang mempunyai tumbuh-tumbuhan,
13|إِنَّهُ لَقَوْلٌ فَصْلٌ|sungguh, (Al-Qur'an) itu benar-benar firman yang memisahkan (antara yang hak dan yang batil),
14|وَمَا هُوَ بِالْهَزْلِ|dan (Al-Qur'an) itu bukanlah senda gurau.
15|إِنَّهُمْ يَكِيدُونَ كَيْدًا|Sungguh, mereka (orang kafir) merencanakan tipu daya yang jahat,
16|وَأَكِيدُ كَيْدًا|dan Aku pun membuat rencana (pula).
17|فَمَهِّلِ الْكَافِرِينَ أَمْهِلْهُمْ رُوَيْدًا|Karena itu berilah penangguhan kepada orang-orang kafir. Berilah mereka kesempatan untuk sementara waktu.
