# Surah 87 | Al-Ala | الأعلى
# total_ayat=19

1|سَبِّحِ اسْمَ رَبِّكَ الْأَعْلَى|Sucikanlah nama Tuhanmu Yang Mahatinggi,
2|الَّذِي خَلَقَ فَسَوَّىٰ|Yang menciptakan, lalu menyempurnakan (ciptaan-Nya).
3|وَالَّذِي قَدَّرَ فَهَدَىٰ|Yang menentukan kadar (masing-masing) dan memberi petunjuk,
4|وَالَّذِي أَخْرَجَ الْمَرْعَىٰ|dan Yang menumbuhkan rerumputan,
5|فَجَعَلَهُ غُثَاءً أَحْوَىٰ|lalu dijadikan-Nya (rumput-rumput) itu kering kehitam-hitaman.
6|سَنُقْرِئُكَ فَلَا تَنْسَىٰ|Kami akan membacakan (Al-Qur'an) kepadamu (Muhammad) sehingga engkau tidak akan lupa,
7|إِلَّا مَا شَاءَ اللَّهُ ۚ إِنَّهُ يَعْلَمُ الْجَهْرَ وَمَا يَخْفَىٰ|kecuali jika Allah menghendaki. Sungguh, Dia mengetahui yang terang dan yang tersembunyi.
8|وَنُيَسِّرُكَ لِلْيُسْرَىٰ|Dan Kami akan memudahkan bagimu ke jalan yang mudah,
9|فَذَكِّرْ إِنْ نَفَعَتِ الذِّكْرَىٰ|oleh sebab itu berikanlah peringatan, karena peringatan itu bermanfaat,
10|سَيَذَّكَّرُ مَنْ يَخْشَىٰ|orang yang takut (kepada Allah) akan mendapat pelajaran,
11|وَيَتَجَنَّبُهَا الْأَشْقَى|dan orang yang celaka akan menjauhinya,
12|الَّذِي يَصْلَى النَّارَ الْكُبْرَىٰ|(yaitu) orang yang akan memasuki api yang besar (neraka),
13|ثُمَّ لَا يَمُوتُ فِيهَا وَلَا يَحْيَىٰ|kemudian dia tidak mati di dalamnya dan tidak (pula) hidup.
14|قَدْ أَفْلَحَ مَنْ تَزَكَّىٰ|Sungguh beruntung orang yang membersihkan diri (dengan beriman),
15|وَذَكَرَ اسْمَ رَبِّهِ فَصَلَّىٰ|dan mengingat nama Tuhannya, lalu dia shalat.
16|بَلْ تُؤْثِرُونَ الْحَيَاةَ الدُّنْيَا|Sedangkan kamu (orang-orang kafir) memilih kehidupan dunia,
17|وَالْآخِرَةُ خَيْرٌ وَأَبْقَىٰ|padahal kehidupan akhirat itu lebih baik dan lebih kekal.
18|إِنَّ هَٰذَا لَفِي الصُّحُفِ الْأُولَىٰ|Sesungguhnya ini terdapat dalam kitab-kitab yang dahulu,
19|صُحُفِ إِبْرَاهِيمَ وَمُوسَىٰ|(yaitu) kitab-kitab Ibrahim dan Musa.
