# Surah 93 | Ad-Duha | الضحى
# total_ayat=11

1|وَالضُّحَىٰ|Demi waktu duha (ketika matahari naik sepenggalah),
2|وَاللَّيْلِ إِذَا سَجَىٰ|dan demi malam apabila telah sunyi,
3|مَا وَدَّعَكَ رَبُّكَ وَمَا قَلَىٰ|Tuhanmu tidak meninggalkan engkau (Muhammad) dan tidak (pula) membencimu,
4|وَلَلْآخِرَةُ خَيْرٌ لَكَ مِنَ الْأُولَىٰ|dan sungguh, yang kemudian itu lebih baik bagimu dari yang permulaan.
5|وَلَسَوْفَ يُعْطِيكَ رَبُّكَ فَتَرْضَىٰ|Dan sungguh, kelak Tuhanmu pasti memberikan karunia-Nya kepadamu, lalu (hati) engkau menjadi puas.
6|أَلَمْ يَجِدْكَ يَتِيمًا فَآوَىٰ|Bukankah Dia mendapatimu sebagai seorang yatim, lalu Dia melindungi(mu),
7|وَوَجَدَكَ ضَالًّا فَهَدَىٰ|dan Dia mendapatimu sebagai seorang yang bingung, lalu Dia memberikan petunjuk,
8|وَوَجَدَكَ عَائِلًا فَأَغْنَىٰ|dan Dia mendapatimu sebagai seorang yang kekurangan, lalu Dia memberikan kecukupan.
9|فَأَمَّا الْيَتِيمَ فَلَا تَقْهَرْ|Maka terhadap anak yatim janganlah engkau berlaku sewenang-wenang.
10|وَأَمَّا السَّائِلَ فَلَا تَنْهَرْ|Dan terhadap orang yang meminta-minta janganlah engkau menghardik(nya).
11|وَأَمَّا بِنِعْمَةِ رَبِّكَ فَحَدِّثْ|Dan terhadap nikmat Tuhanmu, hendaklah engkau nyatakan (dengan bersyukur).
