# Surah 96 | Al-Alaq | العلق
# total_ayat=19

1|اقْرَأْ بِاسْمِ رَبِّكَ الَّذِي خَلَقَ|Bacalah dengan (menyebut) nama Tuhanmu yang menciptakan,
2|خَلَقَ الْإِنْسَانَ مِنْ عَلَقٍ|Dia telah menciptakan manusia dari segumpal darah.
3|اقْرَأْ وَرَبُّكَ الْأَكْرَمُ|Bacalah, dan Tuhanmulah Yang Mahamulia,
4|الَّذِي عَلَّمَ بِالْقَلَمِ|Yang mengajar (manusia) dengan pena.
5|عَلَّمَ الْإِنْسَانَ مَا لَمْ يَعْلَمْ|Dia mengajarkan manusia apa yang tidak diketahuinya.
6|كَلَّا إِنَّ الْإِنْسَانَ لَيَطْغَىٰ|Sekali-kali tidak! Sungguh, manusia itu benar-benar melampaui batas,
7|أَنْ رَآهُ اسْتَغْنَىٰ|apabila melihat dirinya serba cukup.
8|إِنَّ إِلَىٰ رَبِّكَ الرُّجْعَىٰ|Sungguh, hanya kepada Tuhanmulah tempat kembali(mu).
9|أَرَأَيْتَ الَّذِي يَنْهَىٰ|Bagaimana pendapatmu tentang orang yang melarang,
10|عَبْدًا إِذَا صَلَّىٰ|seorang hamba ketika dia melaksanakan shalat,
11|أَرَأَيْتَ إِنْ كَانَ عَلَى الْهُدَىٰ|bagaimana pendapatmu jika dia (yang dilarang shalat itu) berada di atas kebenaran (petunjuk),
12|أَوْ أَمَرَ بِالتَّقْوَىٰ|atau dia menyuruh bertakwa (kepada Allah)?
13|أَرَأَيْتَ إِنْ كَذَّبَ وَتَوَلَّىٰ|Bagaimana pendapatmu jika dia (yang melarang) itu mendustakan dan berpaling?
14|أَلَمْ يَعْلَمْ بِأَنَّ اللَّهَ يَرَىٰ|Tidakkah dia mengetahui bahwa sesungguhnya Allah melihat (segala perbuatannya)?
15|كَلَّا لَئِنْ لَمْ يَنْتَهِ لَنَسْفَعًا بِالنَّاصِيَةِ|Sekali-kali tidak! Sungguh, jika dia tidak berhenti (berbuat demikian) niscaya Kami tarik ubun-ubunnya,
16|نَاصِيَةٍ كَاذِبَةٍ خَاطِئَةٍ|(yaitu) ubun-ubun orang yang mendustakan dan durhaka.
17|فَلْيَدْعُ نَادِيَهُ|Maka biarlah dia memanggil golongannya (untuk menolongnya),
18|سَنَدْعُ الزَّبَانِيَةَ|Kelak Kami akan memanggil malaikat Zabaniyah (penjaga neraka),
19|كَلَّا لَا تُطِعْهُ وَاسْجُدْ وَاقْتَرِبْ|sekali-kali tidak! Janganlah patuh kepadanya; dan sujudlah serta dekatkanlah (dirimu kepada Allah).
